"Geo","Year","Age0to14","Age15to19","Age20to29","Age30to54","Age55to64","Age65Plus"
1,2019,908,449,863,2268,1253,2015
2,2019,440,186,47,751,359,543
3,2019,145,21,105,249,116,120
4,2019,642,1845,9259,6849,1677,1430
5,2019,4802,1364,2584,5679,2771,2141
6,2019,2024,524,1339,4237,1474,1425
7,2019,13523,3903,9326,22200,8207,10480
8,2019,7424,2826,5029,13820,4378,6343
9,2019,5402,1731,2826,8103,3498,3501
10,2019,5959,2170,4744,11626,3513,5508
11,2019,9561,2908,7872,16448,6894,11055
12,2019,2464,694,1026,3950,962,773
13,2019,3361,820,1617,4965,1645,2513
14,2019,854,254,750,1680,689,611
15,2019,1259,720,803,2247,937,854
16,2019,1280,296,1001,2370,1418,1260
17,2019,14782,4464,8987,25270,7771,9916
18,2019,9921,2642,7801,16769,7102,8980
19,2019,36,2,24,42,9,24
20,2019,3577,1125,2994,5101,1982,3038
21,2019,9722,2667,7009,14442,5707,5265
22,2019,1418,514,1026,2375,1586,1686
23,2019,910,125,190,1291,858,602
24,2019,1224,604,600,2372,814,686
25,2019,1131,354,885,1801,441,771
26,2019,217,47,43,182,67,102
27,2019,397,46,157,578,305,215
28,2019,555,226,342,1231,452,634
29,2019,1467,394,605,2315,759,1236
30,2019,2769,860,2119,5066,1912,3113
31,2019,2004,440,846,3050,1774,2423
32,2019,19705,7552,9456,33163,13875,15371
33,2019,8753,2130,4772,12577,4587,5180
34,2019,93,32,47,130,60,70
35,2019,5985,1845,4271,9293,4354,6534
36,2019,1424,694,1211,2532,673,1015
37,2019,2613,1101,2217,3963,1913,2829
38,2019,1275,480,915,2080,653,925
39,2019,6830,5218,9827,13856,6734,8474
40,2019,2438,708,2271,4824,1704,3101
41,2019,3240,706,2020,4970,2189,2460
42,2019,43,22,21,89,51,60
43,2019,3894,2063,2862,7716,4449,4914
44,2019,7312,2334,2486,10301,3838,5897
45,2019,10237,2006,5596,15112,6898,10841
46,2019,8381,2596,4506,13687,7765,10465
47,2019,2790,1719,2115,6262,2738,2436
48,2019,8911,2725,4693,15036,6086,7873
49,2019,10436,4337,4972,18701,8465,9474
50,2019,911,319,524,1684,868,1289
51,2019,8701,3780,5489,15056,6831,10457
52,2019,12700,4076,5655,21367,7555,8633
53,2019,6512,2891,3135,12427,4947,7543
54,2019,3976,1659,1735,7594,3283,4366
55,2019,4296,1608,2728,8332,4673,5372
56,2019,2310,583,1319,4314,2492,3870
57,2019,375,173,210,752,296,360
58,2019,4549,1334,1501,7181,2956,3644
59,2019,20263,6453,10764,35286,10674,11129
60,2019,78,124,128,415,191,244
61,2019,448,85,303,704,451,509
62,2019,171,86,189,321,206,231
63,2019,1374,249,2087,3284,747,797
64,2019,21145,7121,16639,34811,12984,15504
65,2019,17094,4862,15971,32541,11761,15600
66,2019,27556,9131,18231,39785,14443,16306
67,2019,23683,6285,19691,43533,15332,15436
68,2019,26931,8166,19994,40800,15932,18339
69,2019,30856,10315,17148,44110,17318,20936
70,2019,1304,511,901,2480,1280,1209
71,2019,276,77,198,346,359,184
72,2019,393,326,492,1241,559,664
73,2019,773,494,420,2080,1033,1853
74,2019,2112,1014,1412,3921,3400,4086
75,2019,2443,478,1170,3211,2083,2379
76,2019,3417,1490,2139,5574,3124,4252
77,2019,2349,672,1476,4485,1765,1984
78,2019,6606,2434,4267,11153,5847,6123
79,2019,480,260,136,1083,341,584
80,2019,802,334,532,1358,643,791
1,2050,1483,667,1321,3401,1864,3445
2,2050,566,244,61,972,455,700
3,2050,208,30,151,359,167,173
4,2050,704,1194,9554,7532,1574,1531
5,2050,5069,1472,2795,6109,2886,2115
6,2050,2203,639,1551,4946,1750,1700
7,2050,15320,4352,10745,26125,9459,12031
8,2050,10385,3530,7267,19348,6230,9450
9,2050,6787,2157,3452,10038,4177,4196
10,2050,7126,2563,6328,14912,4391,6206
11,2050,9494,2700,8020,16660,6735,11409
12,2050,6553,1615,3187,10597,1966,2146
13,2050,3907,928,1903,5739,1852,2812
14,2050,1261,363,1069,2324,1075,854
15,2050,5066,4562,4909,12199,7540,5832
16,2050,1302,326,1157,2615,1662,1439
17,2050,22698,6697,12742,36253,11141,15102
18,2050,10762,3060,7772,18307,7560,9676
19,2050,36,2,24,42,9,24
20,2050,4638,1487,4034,6674,2686,4186
21,2050,12317,3385,8820,18197,7128,7025
22,2050,2431,914,1947,4229,2393,2567
23,2050,1768,310,415,2841,2205,1651
24,2050,1637,985,671,3162,1124,1210
25,2050,1294,466,1084,1863,487,838
26,2050,192,41,38,161,59,90
27,2050,458,65,170,817,461,349
28,2050,659,252,402,1303,480,611
29,2050,1716,421,685,2574,853,1290
30,2050,3818,1355,2998,7630,2863,4341
31,2050,2311,496,1046,3545,1995,2804
32,2050,25948,9727,12873,43794,17168,19047
33,2050,12508,2860,6346,17870,6319,7062
34,2050,92,32,47,129,59,70
35,2050,5853,1812,4180,9076,4256,6415
36,2050,1977,883,1627,3238,834,1377
37,2050,2381,1003,2021,3608,1744,2575
38,2050,1380,515,992,2285,703,1013
39,2050,6338,4685,8742,12749,6161,7769
40,2050,2415,700,2250,4777,1687,3070
41,2050,3581,794,2144,5473,2393,2765
42,2050,41,20,20,85,48,57
43,2050,4725,2757,3478,10479,6072,6241
44,2050,7155,2289,2444,10076,3760,5797
45,2050,9943,1953,5388,14684,6802,10647
46,2050,7630,2364,4100,12469,7072,9546
47,2050,5025,2601,3598,10698,4933,4174
48,2050,13423,3736,7016,22728,9003,12241
49,2050,15459,6778,7386,27947,12123,14177
50,2050,898,318,517,1657,853,1270
51,2050,8408,3637,5290,14549,6558,10112
52,2050,19049,6519,9612,33676,12063,13680
53,2050,7295,3488,4400,14663,6102,9042
54,2050,5737,2658,2549,11539,4788,6555
55,2050,5656,2145,3537,10926,6670,7309
56,2050,2109,533,1201,3956,2274,3556
57,2050,160,85,114,278,138,127
58,2050,5943,1741,2033,9747,3796,4803
59,2050,26453,9123,14734,47651,14200,17194
60,2050,94,149,154,497,229,292
61,2050,722,156,570,1214,886,972
62,2050,165,83,182,308,198,222
63,2050,1364,251,2176,3267,747,791
64,2050,23552,7867,18140,38210,14353,17182
65,2050,19460,6449,19059,37725,13757,18540
66,2050,33178,10782,21859,47263,17281,19771
67,2050,27320,7221,23038,49885,17641,17766
68,2050,33362,10086,25182,50267,19232,21995
69,2050,41491,13760,22635,59174,23049,27899
70,2050,1337,488,911,2510,1275,1247
71,2050,433,121,310,543,563,288
72,2050,478,402,648,1605,789,814
73,2050,1628,1047,904,4478,2201,4056
74,2050,3509,1663,2343,6631,4707,5782
75,2050,6255,1207,3138,8085,5205,6242
76,2050,3376,1469,2117,5503,3087,4198
77,2050,4099,1570,3176,8982,3489,4697
78,2050,12414,4623,7594,20738,10993,11564
79,2050,570,303,159,1238,384,636
80,2050,803,335,533,1357,644,791
