"Geo","Year","GrpAge0to14","GrpAge15to19","GrpAge20to29","GrpAge30to54","GrpAge55to64","GrpAge65Plus"
1,2019,0,0,0,0,0,0
1,2050,0,0,0,0,0,0
2,2019,0,0,0,0,0,0
2,2050,0,0,0,0,0,0
3,2019,0,0,0,0,0,0
3,2050,0,0,0,0,0,0
4,2019,0,695,1378,25,3,0
4,2050,0,695,1378,25,3,0
5,2019,0,0,0,0,0,0
5,2050,0,0,0,0,0,0
6,2019,0,0,0,0,0,0
6,2050,0,0,0,0,0,0
7,2019,0,0,0,0,0,0
7,2050,0,0,0,0,0,0
8,2019,0,0,0,0,0,0
8,2050,0,0,0,0,0,0
9,2019,0,0,0,0,0,0
9,2050,0,0,0,0,0,0
10,2019,0,0,0,0,0,0
10,2050,0,0,0,0,0,0
11,2019,0,653,1296,24,3,0
11,2050,0,1135,2251,41,5,0
12,2019,0,0,0,0,0,0
12,2050,0,0,0,0,0,0
13,2019,0,0,0,0,0,0
13,2050,0,0,0,0,0,0
14,2019,0,0,0,0,0,0
14,2050,0,0,0,0,0,0
15,2019,0,0,0,0,0,0
15,2050,0,0,0,0,0,0
16,2019,0,0,0,0,0,0
16,2050,0,0,0,0,0,0
17,2019,0,0,0,0,0,0
17,2050,0,0,0,0,0,0
18,2019,0,0,0,0,0,0
18,2050,0,0,0,0,0,0
19,2019,0,0,0,0,0,0
19,2050,0,0,0,0,0,0
20,2019,0,4,9,0,0,0
20,2050,0,4,9,0,0,0
21,2019,0,0,0,0,0,0
21,2050,0,0,0,0,0,0
22,2019,0,29,58,1,0,0
22,2050,0,126,251,5,1,0
23,2019,0,0,0,0,0,0
23,2050,0,0,0,0,0,0
24,2019,0,0,0,0,0,0
24,2050,0,0,1,0,0,0
25,2019,0,6,11,0,0,0
25,2050,0,7,14,0,0,0
26,2019,0,0,0,0,0,0
26,2050,0,0,0,0,0,0
27,2019,0,0,0,0,0,0
27,2050,0,0,0,0,0,0
28,2019,0,13,26,0,0,0
28,2050,0,12,23,0,0,0
29,2019,0,0,0,0,0,0
29,2050,0,0,0,0,0,0
30,2019,0,0,0,0,0,0
30,2050,0,0,0,0,0,0
31,2019,0,0,0,0,0,0
31,2050,0,0,0,0,0,0
32,2019,0,0,0,0,0,0
32,2050,0,0,0,0,0,0
33,2019,0,7,14,0,0,0
33,2050,0,7,14,0,0,0
34,2019,0,0,0,0,0,0
34,2050,0,0,0,0,0,0
35,2019,0,26,51,1,0,0
35,2050,0,26,51,1,0,0
36,2019,0,0,0,0,0,0
36,2050,0,0,0,0,0,0
37,2019,0,0,0,0,0,0
37,2050,0,0,0,0,0,0
38,2019,0,0,0,0,0,0
38,2050,0,0,0,0,0,0
39,2019,0,2218,4401,80,9,0
39,2050,0,2220,4404,80,9,0
40,2019,0,182,360,7,1,0
40,2050,0,180,358,6,1,0
41,2019,0,0,0,0,0,0
41,2050,0,0,0,0,0,0
42,2019,0,0,0,0,0,0
42,2050,0,0,0,0,0,0
43,2019,0,0,0,0,0,0
43,2050,0,0,0,0,0,0
44,2019,0,203,403,7,1,0
44,2050,0,201,399,7,1,0
45,2019,0,346,686,12,1,0
45,2050,0,347,689,13,1,0
46,2019,0,1534,3043,55,6,0
46,2050,0,1395,2768,50,6,0
47,2019,0,19,37,1,0,0
47,2050,0,19,37,1,0,0
48,2019,0,0,0,0,0,0
48,2050,0,0,0,0,0,0
49,2019,0,0,0,0,0,0
49,2050,0,0,0,0,0,0
50,2019,0,3,6,0,0,0
50,2050,0,3,6,0,0,0
51,2019,0,348,690,13,1,0
51,2050,0,339,672,12,1,0
52,2019,0,0,0,0,0,0
52,2050,0,0,0,0,0,0
53,2019,0,1157,2295,42,5,0
53,2050,0,1101,2183,40,4,0
54,2019,0,0,0,0,0,0
54,2050,0,0,0,0,0,0
55,2019,0,0,0,0,0,0
55,2050,0,0,0,0,0,0
56,2019,0,64,128,2,0,0
56,2050,0,62,123,2,0,0
57,2019,0,0,0,0,0,0
57,2050,0,0,0,0,0,0
58,2019,0,0,0,0,0,0
58,2050,0,0,0,0,0,0
59,2019,0,0,0,0,0,0
59,2050,0,0,0,0,0,0
60,2019,0,0,0,0,0,0
60,2050,0,0,0,0,0,0
61,2019,0,0,0,0,0,0
61,2050,0,0,0,0,0,0
62,2019,0,5,9,0,0,0
62,2050,0,9,18,0,0,0
63,2019,0,0,0,0,0,0
63,2050,0,0,0,0,0,0
64,2019,0,24,49,1,0,0
64,2050,0,24,49,1,0,0
65,2019,0,943,1870,34,4,0
65,2050,0,943,1870,34,4,0
66,2019,0,9,18,0,0,0
66,2050,0,9,18,0,0,0
67,2019,0,0,0,0,0,0
67,2050,0,0,0,0,0,0
68,2019,0,542,1076,20,2,0
68,2050,0,542,1076,20,2,0
69,2019,0,0,0,0,0,0
69,2050,0,0,0,0,0,0
70,2019,0,23,47,1,0,0
70,2050,0,12,23,0,0,0
71,2019,0,0,0,0,0,0
71,2050,0,0,0,0,0,0
72,2019,0,0,0,0,0,0
72,2050,0,0,0,0,0,0
73,2019,0,0,0,0,0,0
73,2050,0,0,0,0,0,0
74,2019,0,0,0,0,0,0
74,2050,0,0,0,0,0,0
75,2019,0,0,0,0,0,0
75,2050,0,0,0,0,0,0
76,2019,0,1012,2007,36,4,0
76,2050,0,1006,1995,36,4,0
77,2019,0,0,0,0,0,0
77,2050,0,0,0,0,0,0
78,2019,0,0,0,0,0,0
78,2050,0,0,0,0,0,0
79,2019,0,0,0,0,0,0
79,2050,0,0,0,0,0,0
80,2019,0,18,36,1,0,0
80,2050,0,18,36,1,0,0
