"Geo","Year","PropSovDvmtDiverted"
1,2019,0.065
1,2050,0.065
2,2019,0.084
2,2050,0.084
3,2019,0.084
3,2050,0.084
4,2019,0.084
4,2050,0.084
5,2019,0.084
5,2050,0.084
6,2019,0.084
6,2050,0.084
7,2019,0.084
7,2050,0.084
8,2019,0.028
8,2050,0.0598411792791573
9,2019,0.028
9,2050,0.0598411792791573
10,2019,0.028
10,2050,0.0598411792791573
11,2019,0.054
11,2050,0.0727975817858656
12,2019,0.024
12,2050,0.024
13,2019,0.084
13,2050,0.084
14,2019,0.066
14,2050,0.0963555117103281
15,2019,0.031
15,2050,0.031
16,2019,0.031
16,2050,0.031
17,2019,0.039
17,2050,0.039
18,2019,0.031
18,2050,0.031
19,2019,0.0521846153846154
19,2050,0.0574030769230769
20,2019,0.031
20,2050,0.031
21,2019,0.084
21,2050,0.084
22,2019,0.054
22,2050,0.0727975817858656
23,2019,0.024
23,2050,0.024
24,2019,0.048
24,2050,0.119582125762722
25,2019,0.054
25,2050,0.0727975817858656
26,2019,0.054
26,2050,0.0727975817858656
27,2019,0.054
27,2050,0.0727975817858656
28,2019,0.054
28,2050,0.0727975817858656
29,2019,0.028
29,2050,0.0598411792791573
30,2019,0.048
30,2050,0.108711023420656
31,2019,0.084
31,2050,0.084
32,2019,0.039
32,2050,0.039
33,2019,0.039
33,2050,0.039
34,2019,0.0521846153846154
34,2050,0.15
35,2019,0.0521846153846154
35,2050,0.125341302204203
36,2019,0.024
36,2050,0.024
37,2019,0.0521846153846154
37,2050,0.15
38,2019,0.065
38,2050,0.065
39,2019,0.0521846153846154
39,2050,0.0521846153846154
40,2019,0.0521846153846154
40,2050,0.0521846153846154
41,2019,0.028
41,2050,0.028
42,2019,0.0521846153846154
42,2050,0.0521846153846154
43,2019,0.024
43,2050,0.024
44,2019,0.0521846153846154
44,2050,0.15
45,2019,0.0521846153846154
45,2050,0.0521846153846154
46,2019,0.0521846153846154
46,2050,0.15
47,2019,0.039
47,2050,0.039
48,2019,0.048
48,2050,0.108711023420656
49,2019,0.028
49,2050,0.0598411792791573
50,2019,0.0521846153846154
50,2050,0.0521846153846154
51,2019,0.0521846153846154
51,2050,0.125341302204203
52,2019,0.031
52,2050,0.031
53,2019,0.054
53,2050,0.0727975817858656
54,2019,0.065
54,2050,0.065
55,2019,0.028
55,2050,0.028
56,2019,0.0521846153846154
56,2050,0.0521846153846154
57,2019,0.054
57,2050,0.0727975817858656
58,2019,0.024
58,2050,0.024
59,2019,0.039
59,2050,0.039
60,2019,0.039
60,2050,0.039
61,2019,0.0521846153846154
61,2050,0.0574030769230769
62,2019,0.054
62,2050,0.0727975817858656
63,2019,0.084
63,2050,0.084
64,2019,0.084
64,2050,0.084
65,2019,0.084
65,2050,0.084
66,2019,0.084
66,2050,0.084
67,2019,0.084
67,2050,0.084
68,2019,0.084
68,2050,0.084
69,2019,0.084
69,2050,0.084
70,2019,0.054
70,2050,0.0727975817858656
71,2019,0.054
71,2050,0.0727975817858656
72,2019,0.039
72,2050,0.039
73,2019,0.039
73,2050,0.039
74,2019,0.048
74,2050,0.108711023420656
75,2019,0.028
75,2050,0.0598411792791573
76,2019,0.0521846153846154
76,2050,0.0521846153846154
77,2019,0.031
77,2050,0.031
78,2019,0.065
78,2050,0.065
79,2019,0.028
79,2050,0.028
80,2019,0.0521846153846154
80,2050,0.0574030769230769
