Year,AutoPropIcev,AutoPropHev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropBev
1990,1,0,0,1,0,0
1991,1,0,0,1,0,0
1992,1,0,0,1,0,0
1993,1,0,0,1,0,0
1994,1,0,0,1,0,0
1995,1,0,0,1,0,0
1996,1,0,0,1,0,0
1997,1,0,0,1,0,0
1998,1,0,0,1,0,0
1999,1,0,0,1,0,0
2000,0.999156972,0.000843028,0,1,0,0
2001,0.998165003,0.001834997,0,1,0,0
2002,0.997918191,0.001913014,0.000168795,1,0,0
2003,0.997125017,0.002874983,0,1,0,0
2004,0.994321297,0.005678703,0,1,0,0
2005,0.98413222,0.015768812,9.90E-05,1,0,0
2006,0.985846457,0.014095536,5.80E-05,0.997975625,0.002024375,0
2007,0.974028142,0.025971858,0,0.998453541,0.001546459,0
2008,0.972518035,0.027459063,2.29E-05,0.997634303,0.002365697,0
2009,0.975162046,0.024837954,0,0.998011064,0.001988936,0
2010,0.953509528,0.046418654,7.18E-05,0.998280941,0.001719059,0
2011,0.970399804,0.029335727,0.000264469,0.999292327,0.000707673,0
2012,0.950297034,0.048756212,0.000946754,0.999344711,0.000655289,0
2013,0.938089716,0.05961222,0.002298064,0.998035723,0.001964277,0
2014,0.944533852,0.052911208,0.00255494,0.999466666,0.000533334,0
2015,0.949329665,0.046572577,0.004097758,0.99918883,0.00081117,0
2016,0.952388475,0.042729738,0.004881786,0.996392099,0.0034497,0.000158201
2017,0.927156943,0.067169136,0.00567392,0.995552054,0.004243469,0.000204477
2018,0.908202568,0.071470722,0.02032671,0.992978388,0.006808713,0.000212898
2019,0.905526588,0.071807747,0.022665665,0.993576625,0.006088198,0.000335177
2020,0.876612077,0.094384516,0.029003407,0.980455982,0.018866655,0.000677363
2021,0.856530056,0.110276408,0.033193535,0.968262815,0.030252945,0.00148424
2022,0.797275892,0.141613618,0.06111049,0.954543415,0.042670259,0.002786326
2023,0.805014709,0.133347011,0.061638281,0.936814586,0.058331459,0.004853955
2024,0.805014709,0.133347011,0.061638281,0.918325479,0.074410908,0.007263614
2025,0.793283374,0.137833664,0.068882962,0.918325479,0.074410908,0.007263614
2026,0.781552039,0.142320317,0.076127644,0.918325479,0.074410908,0.007263614
2027,0.769820704,0.146806971,0.083372325,0.918325479,0.074410908,0.007263614
2028,0.758089369,0.151293624,0.090617007,0.918325479,0.074410908,0.007263614
2029,0.746358034,0.155780278,0.097861688,0.918325479,0.074410908,0.007263614
2030,0.734626699,0.160266931,0.10510637,0.918325479,0.074410908,0.007263614
2031,0.722895364,0.164753585,0.112351051,0.918325479,0.074410908,0.007263614
2032,0.711164029,0.169240238,0.119595733,0.918325479,0.074410908,0.007263614
2033,0.699432694,0.173726892,0.126840414,0.918325479,0.074410908,0.007263614
2034,0.687701359,0.178213545,0.134085096,0.918325479,0.074410908,0.007263614
2035,0.675970024,0.182700198,0.141329777,0.918325479,0.074410908,0.007263614
2036,0.664238689,0.187186852,0.148574459,0.918325479,0.074410908,0.007263614
2037,0.652507354,0.191673505,0.15581914,0.918325479,0.074410908,0.007263614
2038,0.640776019,0.196160159,0.163063822,0.918325479,0.074410908,0.007263614
2039,0.629044684,0.200646812,0.170308503,0.918325479,0.074410908,0.007263614
2040,0.61731335,0.205133466,0.177553185,0.918325479,0.074410908,0.007263614
2041,0.605582015,0.209620119,0.184797866,0.918325479,0.074410908,0.007263614
2042,0.59385068,0.214106772,0.192042548,0.918325479,0.074410908,0.007263614
2043,0.582119345,0.218593426,0.199287229,0.918325479,0.074410908,0.007263614
2044,0.57038801,0.223080079,0.206531911,0.918325479,0.074410908,0.007263614
2045,0.558656675,0.227566733,0.213776592,0.918325479,0.074410908,0.007263614
2046,0.54692534,0.232053386,0.221021274,0.918325479,0.074410908,0.007263614
2047,0.535194005,0.23654004,0.228265955,0.918325479,0.074410908,0.007263614
2048,0.52346267,0.241026693,0.235510637,0.918325479,0.074410908,0.007263614
2049,0.511731335,0.245513347,0.242755318,0.918325479,0.074410908,0.007263614
2050,0.5,0.25,0.25,0.75,0.175,0.075
